tool,nthreads,size,repetitions,usec
Pthreads,1,1000000,2000,5155442
Pthreads,2,500000,2000,2594616
Pthreads,4,250000,2000,1376082
Pthreads,8,125000,2000,982020
Pthreads,1,1000000,10000,25501023
Pthreads,2,500000,10000,12820386
Pthreads,4,250000,10000,6505304
Pthreads,8,125000,10000,5164627
Pthreads,1,1000000,100000,256540044
Pthreads,2,500000,100000,129372584
Pthreads,4,250000,100000,66561632
Pthreads,8,125000,100000,48149206
OpenMP,1,1000000,2000,5153131
OpenMP,2,500000,2000,2590801
OpenMP,4,250000,2000,1357895
OpenMP,8,125000,2000,1148986
OpenMP,1,1000000,10000,25648348
OpenMP,2,500000,10000,13005462
OpenMP,4,250000,10000,6771948
OpenMP,8,125000,10000,5262701
OpenMP,1,1000000,100000,257229220
OpenMP,2,500000,100000,129190889
OpenMP,4,250000,100000,68391661
OpenMP,8,125000,100000,53442906
